bit
1
3
4
7
8
9
15
17
19
20
22
23
24
26
28
29
32
33
34
35
36
39
46
49
50
51
53
58
59
62
64
65
71
73
74
75
77
80
81
86
90
93
94
95
98
102
103
111
112
114
117
119
120
121
125
127
128
130
132
138
139
143
144
146
147
149
153
157
160
162
163
165
177
182
183
186
188
191
192
194
195
196
201
205
209
213
214
216
222
228
229
231
233
238
244
245
246
247
252
257
258
261
262
264
268
274
275
278
282
283
286
289
292
294
295
297
301
302
304
305
308
309
310
313
314
316
319
322
323
324
330
331
333
338
343
349
351
352
353
357
358
360
363
367
371
372
374
377
378
380
381
384
385
386
387
392
396
397
400
401
402
406
409
414
418
419
420
423
424
425
426
428
429
431
433
434
435
438
439
440
444
445
446
448
450
452
456
458
464
469
472
474
485
486
487
489
491
492
494
496
497
498
500
506
507
511
