fold,row,Predicted_log10FC
1,2,0.8982853889465332
1,8,0.45386096835136414
1,11,0.45386096835136414
1,35,0.45386096835136414
1,40,1.0041340589523315
1,41,1.0041340589523315
1,50,0.5384749174118042
1,53,0.8982853889465332
1,57,0.55854177474975586
1,61,0.45386096835136414
1,74,0.5384749174118042
1,77,0.5384749174118042
1,78,0.8982853889465332
1,84,0.8982853889465332
1,87,0.55854177474975586
1,91,0.55854177474975586
1,92,0.55854177474975586
1,98,0.45386096835136414
1,105,0.32431134581565857
1,111,0.32431134581565857
1,114,0.8982853889465332
1,125,0.5384749174118042
1,132,0.8982853889465332
1,133,0.8982853889465332
1,138,0.8982853889465332
1,145,0.8982853889465332
1,149,2.3271579742431641
1,150,2.3271579742431641
1,158,2.3271579742431641
1,163,2.3271579742431641
1,174,0.5384749174118042
1,175,0.5384749174118042
1,187,0.45386096835136414
1,188,0.45386096835136414
1,189,0.45386096835136414
1,191,0.32431134581565857
1,192,0.32431134581565857
1,198,0.8982853889465332
1,202,1.0041340589523315
1,207,0.8982853889465332
1,214,0.45386096835136414
1,217,0.55854177474975586
1,221,0.8982853889465332
1,224,0.45386096835136414
1,233,0.8982853889465332
1,234,0.8982853889465332
1,241,0.8982853889465332
1,242,0.8982853889465332
1,244,0.45386096835136414
1,246,0.45386096835136414
1,247,0.45386096835136414
1,249,0.45386096835136414
1,267,0.55854177474975586
1,277,0.8982853889465332
1,278,0.8982853889465332
1,284,0.55854177474975586
1,289,0.45386096835136414
1,293,0.45386096835136414
1,294,0.45386096835136414
1,299,-0.49853450059890747
1,306,0.32431134581565857
1,310,0.32431134581565857
1,311,0.32431134581565857
1,321,-0.8905901312828064
1,322,-0.8905901312828064
1,326,-0.49536755681037903
1,333,-1.8711488246917725
1,340,-1.8711488246917725
1,341,0.45386096835136414
1,343,0.45386096835136414
1,348,1.0041340589523315
1,356,1.0041340589523315
1,361,0.8982853889465332
1,368,0.5384749174118042
1,369,0.5384749174118042
1,374,0.5384749174118042
1,383,0.5384749174118042
1,391,0.8982853889465332
1,395,0.8982853889465332
1,398,0.8982853889465332
1,405,0.55854177474975586
1,407,0.55854177474975586
1,411,0.55854177474975586
1,416,0.55854177474975586
1,421,0.55854177474975586
1,422,0.55854177474975586
1,423,0.55854177474975586
1,425,0.55854177474975586
1,447,1.0041340589523315
1,448,1.0041340589523315
1,449,1.0041340589523315
1,453,1.0041340589523315
1,457,1.0041340589523315
1,470,0.8982853889465332
1,472,0.8982853889465332
1,473,0.8982853889465332
1,484,2.3271579742431641
1,485,2.3271579742431641
1,490,2.3271579742431641
1,495,2.3271579742431641
1,496,0.8982853889465332
1,503,0.8982853889465332
1,505,2.3271579742431641
1,507,2.3271579742431641
1,509,2.3271579742431641
1,515,0.8982853889465332
1,516,0.8982853889465332
1,527,1.0041340589523315
1,528,1.0041340589523315
1,530,1.0041340589523315
1,534,1.0041340589523315
1,537,1.0041340589523315
1,542,1.0041340589523315
1,549,0.8982853889465332
1,552,0.8982853889465332
1,556,0.8982853889465332
1,569,0.8982853889465332
1,575,0.45386096835136414
1,580,0.8982853889465332
1,585,0.5384749174118042
1,590,0.5384749174118042
1,592,0.8982853889465332
1,596,0.8982853889465332
1,599,0.8982853889465332
1,607,0.5384749174118042
1,608,0.19014696776866913
1,611,0.19014696776866913
1,613,0.19014696776866913
1,616,0.45386096835136414
1,626,0.5384749174118042
1,628,0.5384749174118042
1,632,0.8982853889465332
1,635,0.8982853889465332
1,641,0.45386096835136414
1,650,-0.49853450059890747
1,652,0.48900213837623596
1,653,0.48900213837623596
1,654,0.48900213837623596
1,656,0.24473874270915985
1,661,0.5384749174118042
1,663,0.5384749174118042
1,671,0.5384749174118042
1,682,0.8982853889465332
1,691,0.8982853889465332
1,695,0.8982853889465332
1,698,0.8982853889465332
1,706,0.45386096835136414
1,710,0.45386096835136414
1,711,0.45386096835136414
1,718,0.45386096835136414
1,724,1.0041340589523315
1,729,1.0041340589523315
1,739,1.0041340589523315
1,745,-0.49853450059890747
1,753,-0.49853450059890747
1,760,-0.49853450059890747
1,770,0.22785873711109161
1,776,0.2719171941280365
1,785,0.8982853889465332
1,786,0.8982853889465332
1,804,-0.49853450059890747
2,15,0.28528094291687012
2,19,0.50247806310653687
2,20,0.50247806310653687
2,21,0.50247806310653687
2,23,0.92383497953414917
2,25,0.92383497953414917
2,31,0.50247806310653687
2,37,0.50247806310653687
2,42,0.89502012729644775
2,43,0.89502012729644775
2,44,0.89502012729644775
2,46,0.57789367437362671
2,47,0.57789367437362671
2,55,0.55190432071685791
2,58,0.55190432071685791
2,73,0.57789367437362671
2,81,0.92383497953414917
2,82,0.92383497953414917
2,100,0.50247806310653687
2,102,0.50247806310653687
2,103,0.50247806310653687
2,104,0.50247806310653687
2,118,0.92383497953414917
2,136,0.92383497953414917
2,171,0.57789367437362671
2,172,0.57789367437362671
2,173,0.57789367437362671
2,177,0.92383497953414917
2,179,0.92383497953414917
2,182,0.92383497953414917
2,186,0.50247806310653687
2,195,0.57789367437362671
2,203,0.55190432071685791
2,204,0.18694640696048737
2,225,0.50247806310653687
2,227,0.50247806310653687
2,228,0.55190432071685791
2,240,0.92383497953414917
2,250,0.50247806310653687
2,251,0.50247806310653687
2,262,0.55190432071685791
2,264,0.55190432071685791
2,266,0.55190432071685791
2,268,0.55190432071685791
2,269,0.55190432071685791
2,273,0.92383497953414917
2,276,0.92383497953414917
2,280,0.55190432071685791
2,281,0.55190432071685791
2,292,0.50247806310653687
2,296,-0.51135522127151489
2,303,-0.51135522127151489
2,305,0.40400427579879761
2,308,0.40400427579879761
2,323,-0.4756445586681366
2,324,-0.4756445586681366
2,338,-1.8713937997817993
2,346,0.89502012729644775
2,347,0.89502012729644775
2,349,0.89502012729644775
2,350,0.89502012729644775
2,358,0.89502012729644775
2,365,-0.4756445586681366
2,371,0.57789367437362671
2,377,0.57789367437362671
2,381,0.57789367437362671
2,389,0.92383497953414917
2,397,0.92383497953414917
2,399,0.92383497953414917
2,400,0.92383497953414917
2,401,0.92383497953414917
2,406,0.55190432071685791
2,409,0.55190432071685791
2,414,0.55190432071685791
2,415,0.55190432071685791
2,427,2.5234384536743164
2,430,2.5234384536743164
2,432,2.5234384536743164
2,433,2.5234384536743164
2,437,2.5234384536743164
2,441,2.5234384536743164
2,443,2.5234384536743164
2,450,0.89502012729644775
2,456,0.89502012729644775
2,460,0.89502012729644775
2,462,0.89502012729644775
2,466,0.89502012729644775
2,471,0.92383497953414917
2,474,0.92383497953414917
2,475,0.92383497953414917
2,476,0.92383497953414917
2,477,0.92383497953414917
2,480,0.92383497953414917
2,483,2.5234384536743164
2,486,2.5234384536743164
2,487,2.5234384536743164
2,489,2.5234384536743164
2,494,2.5234384536743164
2,502,0.92383497953414917
2,504,2.5234384536743164
2,506,2.5234384536743164
2,508,2.5234384536743164
2,518,0.92383497953414917
2,519,0.50247806310653687
2,520,0.50247806310653687
2,525,0.50247806310653687
2,532,0.89502012729644775
2,533,0.89502012729644775
2,540,0.89502012729644775
2,543,0.89502012729644775
2,545,0.89502012729644775
2,547,0.89502012729644775
2,548,0.89502012729644775
2,559,2.5234384536743164
