row,Predicted_log10FC
0,0.84228253364562988
1,0.78862714767456055
2,0.77792906761169434
3,0.77641415596008301
4,0.77641415596008301
5,0.84228253364562988
6,0.77641415596008301
7,0.47889471054077148
8,0.47850942611694336
9,0.47889471054077148
10,0.51784086227416992
11,0.47850942611694336
12,0.47889471054077148
13,0.47889471054077148
14,0.3213963508605957
15,0.28358769416809082
16,0.32038569450378418
17,0.3213963508605957
18,0.47889471054077148
19,0.4586646556854248
20,0.4586646556854248
21,0.4586646556854248
22,0.78862714767456055
23,0.75799775123596191
24,0.84228253364562988
25,0.75799775123596191
26,0.84228253364562988
27,0.78862714767456055
28,0.84228253364562988
29,0.84228253364562988
30,0.47889471054077148
31,0.4586646556854248
32,0.48607754707336426
33,0.47889471054077148
34,0.51784086227416992
35,0.47850942611694336
36,0.48607754707336426
37,0.4586646556854248
38,0.8644711971282959
39,0.93549942970275879
40,0.89599108695983887
41,0.89599108695983887
42,0.86101412773132324
43,0.86101412773132324
44,0.86101412773132324
45,0.90661382675170898
46,0.46883368492126465
47,0.46883368492126465
48,0.48824572563171387
49,0.48824572563171387
50,0.49642276763916016
51,0.77641415596008301
52,0.78862714767456055
53,0.77792906761169434
54,0.78862714767456055
55,0.5322108268737793
56,0.50550079345703125
57,0.52260684967041016
58,0.5322108268737793
59,0.56897568702697754
60,0.47889471054077148
61,0.47850942611694336
62,0.51784086227416992
63,0.51784086227416992
64,0.48607754707336426
65,0.52206277847290039
66,0.55353426933288574
67,0.52206277847290039
68,0.55353426933288574
69,0.52440261840820312
70,0.45441794395446777
71,0.45441794395446777
72,0.45441794395446777
73,0.46883368492126465
74,0.49642276763916016
75,0.45441794395446777
76,0.52440261840820312
77,0.49642276763916016
78,0.77792906761169434
79,0.77641415596008301
80,0.78862714767456055
81,0.75799775123596191
82,0.75799775123596191
83,0.78862714767456055
84,0.77792906761169434
85,0.84228253364562988
86,0.84228253364562988
87,0.52260684967041016
88,0.56897568702697754
89,0.56897568702697754
90,0.47964572906494141
91,0.52260684967041016
92,0.52260684967041016
93,0.47964572906494141
94,0.50550079345703125
95,0.47964572906494141
96,0.47889471054077148
97,0.48607754707336426
98,0.47850942611694336
99,0.51784086227416992
100,0.4586646556854248
101,0.48607754707336426
102,0.4586646556854248
103,0.4586646556854248
104,0.4586646556854248
105,0.60255551338195801
106,0.5561068058013916
107,0.55353426933288574
108,0.52206277847290039
109,0.5561068058013916
110,0.52206277847290039
111,0.60255551338195801
112,0.52206277847290039
113,0.5561068058013916
114,0.77792906761169434
115,0.84228253364562988
116,0.77641415596008301
117,0.84228253364562988
118,0.75799775123596191
119,0.77641415596008301
120,0.52440261840820312
121,0.48824572563171387
122,0.45441794395446777
123,0.45441794395446777
124,0.52440261840820312
125,0.49642276763916016
126,0.56897568702697754
127,0.47964572906494141
128,0.50550079345703125
129,0.47964572906494141
130,0.84228253364562988
131,0.77641415596008301
132,0.77792906761169434
133,0.77792906761169434
134,0.84228253364562988
135,0.77641415596008301
136,0.75799775123596191
137,0.78862714767456055
138,0.77792906761169434
139,0.78862714767456055
140,0.84228253364562988
141,0.78862714767456055
142,0.84228253364562988
143,0.84228253364562988
144,0.78862714767456055
145,0.77792906761169434
146,0.84228253364562988
147,0.77641415596008301
148,1.7031490802764893
149,1.8176248073577881
150,1.8176248073577881
151,1.7215847969055176
152,1.7031490802764893
153,1.7215847969055176
154,1.8797800540924072
155,1.7031490802764893
156,1.7215847969055176
157,1.7215847969055176
158,1.8176248073577881
159,1.8797800540924072
160,1.8797800540924072
161,1.7031490802764893
162,1.7031490802764893
163,1.8176248073577881
164,1.8797800540924072
165,0.45441794395446777
166,0.45441794395446777
167,0.52440261840820312
168,0.48824572563171387
169,0.48824572563171387
170,0.48824572563171387
171,0.46883368492126465
172,0.46883368492126465
173,0.46883368492126465
174,0.49642276763916016
175,0.49642276763916016
176,0.45441794395446777
177,0.75799775123596191
178,0.78862714767456055
179,0.75799775123596191
180,0.84228253364562988
181,0.78862714767456055
182,0.75799775123596191
183,0.77641415596008301
184,0.51784086227416992
185,0.47889471054077148
186,0.4586646556854248
187,0.47850942611694336
188,0.47850942611694336
189,0.47850942611694336
190,0.48607754707336426
191,0.60255551338195801
192,0.60255551338195801
193,0.59314894676208496
194,0.59314894676208496
195,0.46883368492126465
196,0.45441794395446777
197,0.77641415596008301
198,0.77792906761169434
199,0.48607754707336426
200,0.47889471054077148
201,0.8644711971282959
202,0.89599108695983887
203,0.5322108268737793
204,0.33689045906066895
205,-0.078418493270874023
206,0.42546248435974121
207,0.77792906761169434
208,0.78862714767456055
209,0.77641415596008301
210,0.78862714767456055
211,0.78862714767456055
212,0.51784086227416992
213,0.48607754707336426
214,0.47850942611694336
215,0.48607754707336426
216,0.56897568702697754
217,0.52260684967041016
218,0.47964572906494141
219,0.56897568702697754
220,0.77641415596008301
221,0.77792906761169434
222,0.84228253364562988
223,0.78862714767456055
224,0.47850942611694336
225,0.4586646556854248
226,0.48607754707336426
227,0.4586646556854248
228,0.5322108268737793
229,0.50550079345703125
230,0.47964572906494141
231,0.78862714767456055
232,0.78862714767456055
233,0.77792906761169434
234,0.77792906761169434
235,0.84228253364562988
236,0.78862714767456055
237,0.77641415596008301
238,0.84228253364562988
239,0.77641415596008301
240,0.75799775123596191
241,0.77792906761169434
242,0.77792906761169434
243,0.78862714767456055
244,0.47850942611694336
245,0.47889471054077148
246,0.47850942611694336
247,0.47850942611694336
248,0.48607754707336426
249,0.47850942611694336
250,0.4586646556854248
251,0.4586646556854248
252,0.48607754707336426
253,0.48607754707336426
254,0.47889471054077148
255,0.51784086227416992
256,0.47889471054077148
257,0.56897568702697754
258,0.56897568702697754
259,0.47964572906494141
260,0.50550079345703125
261,0.50550079345703125
262,0.5322108268737793
263,0.47964572906494141
264,0.5322108268737793
265,0.47964572906494141
266,0.5322108268737793
267,0.52260684967041016
268,0.5322108268737793
269,0.5322108268737793
270,0.77641415596008301
271,0.77641415596008301
272,0.78862714767456055
273,0.75799775123596191
274,0.78862714767456055
275,0.84228253364562988
276,0.75799775123596191
277,0.77792906761169434
278,0.77792906761169434
279,0.56897568702697754
280,0.5322108268737793
281,0.5322108268737793
282,0.56897568702697754
283,0.56897568702697754
284,0.52260684967041016
285,0.47964572906494141
286,0.50550079345703125
287,0.47889471054077148
288,0.51784086227416992
289,0.47850942611694336
290,0.51784086227416992
291,0.47889471054077148
292,0.4586646556854248
293,0.47850942611694336
294,0.47850942611694336
295,0.51784086227416992
296,-0.051207304000854492
297,0.02393794059753418
298,0.02393794059753418
299,0.016485452651977539
300,0.02393794059753418
301,-0.055815458297729492
302,-0.055815458297729492
303,-0.051207304000854492
304,0.02393794059753418
305,0.56744480133056641
306,0.60255551338195801
307,0.52206277847290039
308,0.56744480133056641
309,0.52206277847290039
310,0.60255551338195801
311,0.60255551338195801
312,0.52206277847290039
313,0.5561068058013916
314,0.15141391754150391
315,0.15141391754150391
316,0.23617100715637207
317,0.050064563751220703
318,0.050064563751220703
319,0.15141391754150391
320,0.23617100715637207
321,0.15909290313720703
322,0.15909290313720703
323,0.14189648628234863
