row,Predicted_log10FC
0,0.98486894369125366
1,0.90985804796218872
2,0.8982853889465332
3,0.93749803304672241
4,0.93749803304672241
5,0.98486894369125366
6,0.93749803304672241
7,0.46323394775390625
8,0.45386096835136414
9,0.46323394775390625
10,0.53018736839294434
11,0.45386096835136414
12,0.46323394775390625
13,0.46323394775390625
14,0.252582848072052
15,0.28528094291687012
16,0.53763282299041748
17,0.252582848072052
18,0.46323394775390625
19,0.50247806310653687
20,0.50247806310653687
21,0.50247806310653687
22,0.90985804796218872
23,0.92383497953414917
24,0.98486894369125366
25,0.92383497953414917
26,0.98486894369125366
27,0.90985804796218872
28,0.98486894369125366
29,0.98486894369125366
30,0.46323394775390625
31,0.50247806310653687
32,0.53044188022613525
33,0.46323394775390625
34,0.53018736839294434
35,0.45386096835136414
36,0.53044188022613525
37,0.50247806310653687
38,0.99498486518859863
39,1.1023750305175781
40,1.0041340589523315
41,1.0041340589523315
42,0.89502012729644775
43,0.89502012729644775
44,0.89502012729644775
45,1.0526973009109497
46,0.57789367437362671
47,0.57789367437362671
48,0.54612696170806885
49,0.54612696170806885
50,0.5384749174118042
51,0.93749803304672241
52,0.90985804796218872
53,0.8982853889465332
54,0.90985804796218872
55,0.55190432071685791
56,0.57649457454681396
57,0.55854177474975586
58,0.55190432071685791
59,0.74067944288253784
60,0.46323394775390625
61,0.45386096835136414
62,0.53018736839294434
63,0.53018736839294434
64,0.53044188022613525
65,0.39926540851593018
66,0.32641351222991943
67,0.39926540851593018
68,0.32641351222991943
69,0.65600723028182983
70,0.44318076968193054
71,0.44318076968193054
72,0.44318076968193054
73,0.57789367437362671
74,0.5384749174118042
75,0.44318076968193054
76,0.65600723028182983
77,0.5384749174118042
78,0.8982853889465332
79,0.93749803304672241
80,0.90985804796218872
81,0.92383497953414917
82,0.92383497953414917
83,0.90985804796218872
84,0.8982853889465332
85,0.98486894369125366
86,0.98486894369125366
87,0.55854177474975586
88,0.74067944288253784
89,0.74067944288253784
90,0.50572121143341064
91,0.55854177474975586
92,0.55854177474975586
93,0.50572121143341064
94,0.57649457454681396
95,0.50572121143341064
96,0.46323394775390625
97,0.53044188022613525
98,0.45386096835136414
99,0.53018736839294434
100,0.50247806310653687
101,0.53044188022613525
102,0.50247806310653687
103,0.50247806310653687
104,0.50247806310653687
105,0.32431134581565857
106,0.34656956791877747
107,0.32641351222991943
108,0.39926540851593018
109,0.34656956791877747
110,0.39926540851593018
111,0.32431134581565857
112,0.39926540851593018
113,0.34656956791877747
114,0.8982853889465332
115,0.98486894369125366
116,0.93749803304672241
117,0.98486894369125366
118,0.92383497953414917
119,0.93749803304672241
120,0.65600723028182983
121,0.54612696170806885
122,0.44318076968193054
123,0.44318076968193054
124,0.65600723028182983
125,0.5384749174118042
126,0.74067944288253784
127,0.50572121143341064
128,0.57649457454681396
129,0.50572121143341064
130,0.98486894369125366
131,0.93749803304672241
132,0.8982853889465332
133,0.8982853889465332
134,0.98486894369125366
135,0.93749803304672241
136,0.92383497953414917
137,0.90985804796218872
138,0.8982853889465332
139,0.90985804796218872
140,0.98486894369125366
141,0.90985804796218872
142,0.98486894369125366
143,0.98486894369125366
144,0.90985804796218872
145,0.8982853889465332
146,0.98486894369125366
147,0.93749803304672241
148,2.3603541851043701
149,2.3271579742431641
150,2.3271579742431641
151,2.4483671188354492
152,2.3603541851043701
153,2.4483671188354492
154,2.34552001953125
155,2.3603541851043701
