fold,row,Predicted_log10FC
1,2,0.24712328612804413
1,8,0.98363733291625977
1,11,1.0752966403961182
1,35,-0.5839194655418396
1,40,1.2022073268890381
1,41,0.98599076271057129
1,50,0.13777098059654236
1,53,1.7976816892623901
1,57,1.8121585845947266
1,61,1.5774831771850586
1,74,1.9604822397232056
1,77,0.13222420215606689
1,78,1.8493024110794067
1,84,1.7581491470336914
1,87,2.1767067909240723
1,91,2.0304117202758789
1,92,1.8914567232131958
1,98,1.3388341665267944
1,105,1.8832968473434448
1,111,1.5056231021881104
1,114,2.2941567897796631
1,125,0.13222420215606689
1,132,2.2941567897796631
1,133,2.279731273651123
1,138,2.3322339057922363
1,145,1.7581491470336914
1,149,3.6236746311187744
1,150,3.7618629932403564
1,158,4.0084114074707031
1,163,1.2350920438766479
1,174,1.443375825881958
1,175,0.46379360556602478
1,187,0.78672170639038086
1,188,0.5484161376953125
1,189,0.53968441486358643
1,191,0.3059861958026886
1,192,0.061659540981054306
1,198,-0.14622154831886292
1,202,2.1085939407348633
1,207,0.54614275693893433
1,214,0.065719716250896454
1,217,0.56419765949249268
1,221,2.1346035003662109
1,224,2.4766364097595215
1,233,1.9315903186798096
1,234,0.82544547319412231
1,241,0.69630855321884155
1,242,1.221960186958313
1,244,0.23979693651199341
1,246,1.7223926782608032
1,247,0.75513225793838501
1,249,1.5276287794113159
1,267,0.65503108501434326
1,277,1.221960186958313
1,278,1.7581491470336914
1,284,-2.0469202995300293
1,289,0.77975332736968994
1,293,0.75462889671325684
1,294,-0.12086737155914307
1,299,-1.5209605693817139
1,306,-1.251156210899353
1,310,-0.71470880508422852
1,311,-1.0818389654159546
1,321,-0.14949822425842285
1,322,0.1075550764799118
1,326,-0.82934558391571045
1,333,-2.1909558773040771
1,340,-0.63088095188140869
1,341,1.872816801071167
1,343,1.1097095012664795
1,348,2.2227776050567627
1,356,2.2001361846923828
1,361,1.8577388525009155
1,368,0.74560600519180298
1,369,0.073989681899547577
1,374,1.1004838943481445
1,383,0.13777098059654236
1,391,0.47552010416984558
1,395,0.40124225616455078
1,398,0.42865216732025146
1,405,0.41322812438011169
1,407,-0.55283921957015991
1,411,-0.24933275580406189
1,416,0.33086568117141724
1,421,0.45547953248023987
1,422,0.47054103016853333
1,423,0.61719721555709839
1,425,2.5045106410980225
1,447,0.47343125939369202
1,448,-1.1660451889038086
1,449,0.68026316165924072
1,453,1.135329008102417
1,457,0.95817434787750244
1,470,2.3928980827331543
1,472,2.3928980827331543
1,473,2.3928980827331543
1,484,4.5912303924560547
1,485,3.2637760639190674
1,490,3.7689266204833984
1,495,2.0462577342987061
1,496,2.8611702919006348
1,503,0.081418968737125397
1,505,2.5489835739135742
1,507,3.641892671585083
1,509,3.3642725944519043
1,515,-0.14391434192657471
1,516,0.66213041543960571
1,527,1.0505566596984863
1,528,0.50507640838623047
1,530,1.1322280168533325
1,534,1.8542512655258179
1,537,2.195030689239502
1,542,1.669370174407959
1,549,1.9763076305389404
1,552,1.4480009078979492
1,556,1.7581491470336914
1,569,-0.14622154831886292
1,575,1.5957400798797607
1,580,2.741816520690918
1,585,0.91190421581268311
1,590,0.46379360556602478
1,592,1.7581491470336914
1,596,0.80914306640625
1,599,1.5877563953399658
1,607,2.2998921871185303
1,608,0.27614212036132812
1,611,0.78106725215911865
1,613,1.4236518144607544
1,616,-0.26597210764884949
1,626,-0.34822437167167664
1,628,-0.66214531660079956
1,632,-0.60596829652786255
1,635,0.081418968737125397
1,641,-0.30144613981246948
1,650,-0.36043587327003479
1,652,0.60937142372131348
1,653,0.073981143534183502
1,654,0.16146638989448547
1,656,0.26615247130393982
1,661,-0.19470645487308502
1,663,0.92284435033798218
1,671,2.250277042388916
1,682,-0.34644022583961487
1,691,-0.082832872867584229
1,695,-0.88970136642456055
1,698,1.7581491470336914
1,706,1.3449565172195435
1,710,0.18846985697746277
1,711,0.84081101417541504
1,718,0.044130969792604446
1,724,-0.1139049232006073
1,729,-0.39268729090690613
1,739,0.12987986207008362
1,745,-0.51284414529800415
1,753,0.88780021667480469
1,760,-0.0080991508439183235
1,770,0.10899533331394196
1,776,0.78799110651016235
1,785,0.045613992959260941
1,786,0.48222842812538147
1,804,-0.10362617671489716
2,15,0.85047316551208496
2,19,1.0500723123550415
2,20,-0.044114135205745697
2,21,1.297852635383606
2,23,0.78364551067352295
2,25,-0.75404810905456543
2,31,0.69988012313842773
2,37,-0.044114135205745697
2,42,1.2605493068695068
2,43,1.5579159259796143
2,44,1.7781699895858765
2,46,0.92161852121353149
2,47,0.94646525382995605
2,55,1.6465208530426025
2,58,1.2889600992202759
2,73,1.7013860940933228
2,81,1.6941477060317993
2,82,1.631348729133606
2,100,1.3554462194442749
2,102,1.7143087387084961
2,103,-0.044114135205745697
2,104,0.22504858672618866
2,118,1.0691941976547241
2,136,2.6263713836669922
2,171,1.981437087059021
2,172,2.5545370578765869
2,173,2.8565704822540283
2,177,1.0691941976547241
2,179,0.32014366984367371
2,182,0.31842601299285889
2,186,0.31594079732894897
2,195,0.28482827544212341
2,203,0.24355395138263702
2,204,0.16275304555892944
2,225,1.7955464124679565
2,227,1.5594695806503296
2,228,2.9616293907165527
2,240,0.31413120031356812
2,250,0.68428224325180054
2,251,0.55601465702056885
2,262,1.3677457571029663
2,264,1.5123361349105835
2,266,1.1090892553329468
2,268,-0.44922050833702087
2,269,1.2889600992202759
2,273,0.23959894478321075
2,276,0.061439115554094315
2,280,-2.2881660461425781
2,281,-2.3637075424194336
2,292,1.5189545154571533
2,296,-1.2566578388214111
2,303,-0.36607640981674194
2,305,-0.77099251747131348
2,308,-1.1874830722808838
2,323,-0.40197303891181946
2,324,-0.42768710851669312
2,338,-2.5093412399291992
2,346,2.2117218971252441
2,347,1.8053604364395142
2,349,1.455399751663208
2,350,1.2947124242782593
2,358,2.8269493579864502
2,365,0.52420806884765625
2,371,-0.66709506511688232
2,377,0.50216680765151978
2,381,0.13994868099689484
2,389,-0.21212635934352875
2,397,0.80781173706054688
2,399,0.41471767425537109
2,400,0.81285029649734497
2,401,0.86765146255493164
2,406,-0.28711366653442383
2,409,0.81617307662963867
2,414,1.1894018650054932
2,415,-0.39567553997039795
2,427,0.63467472791671753
2,430,1.3788242340087891
2,432,0.75864648818969727
2,433,1.3512492179870605
2,437,0.095324963331222534
2,441,1.0999391078948975
2,443,0.95056062936782837
2,450,1.4060095548629761
2,456,-0.067212291061878204
2,460,0.81354063749313354
2,462,0.60520881414413452
2,466,1.7781699895858765
2,471,3.7554512023925781
2,474,3.5210223197937012
2,475,3.5210223197937012
2,476,3.1352605819702148
2,477,3.1352605819702148
2,480,0.0096726631745696068
2,483,2.9728472232818604
2,486,3.902827262878418
2,487,3.902827262878418
2,489,3.3879919052124023
2,494,1.2505954504013062
2,502,1.0691941976547241
2,504,4.2922496795654297
2,506,2.0799560546875
2,508,3.3536717891693115
2,518,1.0691941976547241
2,519,0.70823287963867188
2,520,1.5792443752288818
2,525,-0.044114135205745697
2,532,1.4343413114547729
2,533,2.507404088973999
2,540,1.5297958850860596
2,543,1.6148386001586914
2,545,1.3292117118835449
2,547,1.7264562845230103
2,548,2.3684840202331543
2,559,2.9045937061309814
2,562,1.4706255197525024
2,568,2.0835325717926025
2,571,1.7578439712524414
2,577,1.9119733572006226
2,581,1.8592380285263062
2,589,1.3068429231643677
2,598,2.225541353225708
2,605,0.62676966190338135
2,615,1.7143087387084961
2,618,-1.1431907415390015
2,620,-1.6825612783432007
2,621,1.7578439712524414
2,622,-0.11155533045530319
2,625,-0.3798392117023468
2,636,0.15335680544376373
2,638,-0.66007441282272339
2,648,-0.57977759838104248
2,651,-0.15749192237854004
2,662,0.64396923780441284
2,670,0.46430858969688416
2,674,-0.36992275714874268
2,675,-0.066318191587924957
2,692,0.64847362041473389
2,701,-2.0113744735717773
2,707,0.71992009878158569
2,712,0.54700958728790283
2,723,1.7270421981811523
2,727,1.5650629997253418
2,728,0.73408114910125732
2,731,0.66879314184188843
2,754,0.14766266942024231
2,755,1.4668363332748413
2,758,-0.67128831148147583
2,765,0.23829616606235504
2,768,0.4582010805606842
2,769,0.33824288845062256
2,771,-0.058240428566932678
2,772,0.12798598408699036
2,775,-0.29030683636665344
2,781,0.18859222531318665
2,782,1.2318254709243774
2,789,1.2313363552093506
2,795,0.050167560577392578
2,797,1.2834897041320801
2,800,0.18879607319831848
2,802,0.49601954221725464
2,803,-0.24977803230285645
3,0,0.15789416432380676
3,5,0.24686610698699951
3,10,1.2656856775283813
3,16,-0.16545042395591736
3,24,0.51114159822463989
3,26,-0.17822010815143585
3,28,1.8173419237136841
3,29,1.2368334531784058
3,34,-0.082113690674304962
3,39,0.44192218780517578
3,48,0.4250827431678772
3,49,0.91425788402557373
3,62,1.6487234830856323
3,63,1.6825486421585083
3,85,1.2368334531784058
3,86,0.1975599080324173
3,90,1.9228296279907227
3,93,2.084693431854248
3,95,-0.033181685954332352
3,99,1.3984078168869019
3,106,1.8811317682266235
3,109,2.092761754989624
3,113,-0.079151846468448639
3,115,2.2300658226013184
3,117,1.8173419237136841
3,121,1.1216521263122559
3,127,1.5287421941757202
3,129,-0.033181685954332352
3,130,1.9921150207519531
3,134,2.5550117492675781
3,140,3.6356656551361084
3,142,1.6127539873123169
3,143,1.8896515369415283
3,146,1.2368334531784058
3,154,3.1820399761199951
3,159,1.9651498794555664
3,160,2.4119799137115479
3,164,2.0961160659790039
3,168,2.609299898147583
3,169,3.1331057548522949
3,170,2.5286946296691895
3,180,0.41671645641326904
3,184,-0.1630336195230484
3,212,0.47212338447570801
3,218,0.6330607533454895
3,222,1.3040423393249512
3,230,3.0153248310089111
3,235,1.5610980987548828
3,238,1.9779855012893677
3,255,-0.1630336195230484
3,259,1.1328561305999756
3,263,0.53488069772720337
3,265,0.43087092041969299
3,275,0.45063924789428711
3,285,-1.455304741859436
3,288,0.81842923164367676
3,290,0.94309747219085693
3,295,1.6825486421585083
3,297,-1.5476781129837036
3,298,-1.7449206113815308
3,300,-1.4161643981933594
3,304,0.041653696447610855
3,313,1.6316169500350952
3,314,-1.4395382404327393
3,315,-1.56192946434021
3,319,-1.1053322553634644
3,327,-0.49800315499305725
3,329,-0.51422834396362305
3,330,-1.4284257888793945
3,337,-1.9156973361968994
3,351,2.2466366291046143
3,352,2.462440013885498
3,354,2.6813197135925293
